document_id,document_name,type,folder_id,path,level
267,Export content to Word,0,313,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view/Import & export translations,7
269,Import external file,0,313,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view/Import & export translations,7
289,Display relationships,0,314,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view/Translation management,7
293,Search documents and folders,0,314,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view/Translation management,7
310,Translate document folder properties,0,309,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view/Document folders,7
312,Translate document properties,0,311,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view/Documents,7
315,Maintain phrase memory,0,314,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view/Translation management,7
315,Maintain phrase memory,0,319,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor/Document content,7
320,Translate document,0,319,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor/Document content,7
321,Transcribe document links,0,319,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor/Document content,7
322,Translate document popups,0,319,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor/Document content,7
323,Insert image,0,319,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor/Document content,7
324,Check document spelling,0,319,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor/Document content,7
325,Find & replace text & images,0,319,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor/Document content,7
327,Transcribe image map links,0,326,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor/Image maps,7
328,Translate image map popups,0,326,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor/Image maps,7
330,Save document,0,329,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor/Save & release,7
